faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ГФ,ОП-21,21,3,2023-2024 уч.год,,
ГФ,ПГС-19,27,3,2021-2022,,
ГФ,ПГС-20,26,3,2022-2023 весна,,
ГФ,ПГС-21-1,21,3,2023-2024 уч.год,,
ГФ,ПГС-21-2,21,3,2023-2024 уч.год,,
ГФ,ПМК-20,24,2,2021-2022,,
ГФ,ПМК-21,23,2,2022-2023 весна,,
ГФ,ПМК-22,24,2,2023-2024 уч.год,,
ГФ,ПЭ-18,28,4,2021-2022,,
ГФ,ПЭ-20,15,4,2023-2024 уч.год,,
ГФ,РГГ-19,21,4,2022-2023 весна,,
ГФ,РГГ-20,12,4,2023-2024 уч.год,,
ГФ,РГИ-19,21,4,2022-2023 весна,,
ГФ,РГИ-20,12,4,2023-2024 уч.год,,
ГФ,РМ-19,30,4,2022-2023 весна,,
ГФ,РСК-18,14,4,2021-2022,,
ГФ,РТ-19,22,3,2021-2022,,
ГФ,РТ-20,21,3,2022-2023 весна,,
ГФ,РФ-19,19,3,2021-2022,,
ГФ,РФ-20,11,3,2022-2023 весна,,
ГФ,РФС-19,13,3,2021-2022,,
ГФ,РФС-20,10,3,2022-2023 весна,,
ГФ,РФС-21,11,3,2023-2024 уч.год,,
ГФ,САМ-19,16,3,2021-2022,,
ГФ,САМ-20,25,3,2022-2023 весна,,
ГФ,САМ-21-1,20,3,2023-2024 уч.год,,
ГФ,САМ-21-2,20,3,2023-2024 уч.год,,
ГФ,СПС-18,24,4,2021-2022,,
ГФ,СПС-20,24,4,2023-2024 уч.год,,
ГФ,СТ-21,24,3,2023-2024 уч.год,,
ГФ,СЭ-20,9,4,2023-2024 уч.год,,
ГФ,ТО-16,24,6,2021-2022,,
ГФ,ТО-18,23,4,2021-2022,,
ГФ,ТО-19,26,4,2022-2023 весна,,
ГФ,ТО-20,28,4,2023-2024 уч.год,,
ГФ,ТО-21,19,3,2023-2024 уч.год,,
ГФ,ТОА-18-1,16,4,2021-2022,,
ГФ,ТОА-18-2,16,4,2021-2022,,
ГФ,ТОА-20,22,4,2023-2024 уч.год,,
ГФ,ТОП-19,16,3,2021-2022,,
ГФ,ТПП-17,20,5,2021-2022,,
ГФ,ТПП-18,19,4,2021-2022,,
ГФ,ТПП-19,17,5,2023-2024 уч.год,,
ГФ,ТПП-20,15,4,2023-2024 уч.год,,
ГФ,ТПП-21,18,3,2023-2024 уч.год,,
ГФ,ТПР-17,21,5,2021-2022,,
ГФ,ТПР-18,17,4,2021-2022,,
ГФ,ТПР-19,25,4,2022-2023 весна,,
ГФ,ТПР-21,24,3,2023-2024 уч.год,,
ГФ,ТХО-18,17,4,2021-2022,,
ГФ,ТХО-20,17,4,2023-2024 уч.год,,
ГФ,Шифр учебной группы,28,4,2021-2022,,
ГФ,ЭРБ-18-1,15,4,2021-2022,,
ГФ,ЭРБ-18-2,15,4,2021-2022,,
ГФ,ЭРБ-20,24,4,2023-2024 уч.год,,
ГФ,ЭРС-18-1,19,4,2021-2022,,
ГФ,ЭРС-18-2,19,4,2021-2022,,
ГФ,ЭРС-19,28,4,2022-2023 весна,,
ГФ,ЭРС-20,31,4,2023-2024 уч.год,,
ГФ,ЭРС-21-1,18,3,2023-2024 уч.год,,
ГФ,ЭРС-21-2,18,3,2023-2024 уч.год,,
ГФ,ЭС-20,30,2,2021-2022,,
ГФ,ЭС-21-1,19,2,2022-2023 весна,,
ГФ,ЭС-21-2,19,2,2022-2023 весна,,
ГФ,ЭС-22-1,18,2,2023-2024 уч.год,,
ГФ,ЭС-22-2,18,2,2023-2024 уч.год,,
ГФ,ЭХТ-19-1,29,3,2021-2022,,
ГФ,ЭХТ-19-2,29,3,2021-2022,,
ГФ,ЭХТ-21-1,26,3,2023-2024 уч.год,,
ГФ,ЭХТ-21-2,26,3,2023-2024 уч.год,,
ГФ,специализации,28,4,2021-2022,,
ГФ,специальности,28,4,2021-2022,,
