group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ТО-18,BP-026,Теплотехника,2021-2022,,
ТО-19,BP-003,Аэрология горных предприятий (карьеров),2022-2023 весна,,
ТО-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ТО-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТО-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТОА-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ТОА-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ТОА-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТОП-19,BP-007,Безопасность жизнедеятельности,2021-2022,,
ТПП-17,BP-002,Аэрология горных предприятий,2021-2022,,
ТПП-18,BP-002,Аэрология горных предприятий,2021-2022,,
ТПП-18,BP-026,Теплотехника,2021-2022,,
ТПП-19,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ТПП-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ТПП-20,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ТПП-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТПП-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТПР-17,BP-002,Аэрология горных предприятий,2021-2022,,
ТПР-18,BP-002,Аэрология горных предприятий,2021-2022,,
ТПР-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ТПР-19,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ТПР-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ТПР-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ТХО-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ТХО-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
Шифр учебной группы,BP-017,Наименование учебной дисциплины,2021-2022,,
ЭРБ-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭРБ-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
