group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ТХ-21-1,HTP-044,Проектирование процессов и аппаратов нефтеперерабатывающих предприятий,2024-2025 уч.год,,
ТХ-21-1,HTP-052,Процессы и аппараты химической технологии,2024-2025 уч.год,,
ТХ-21-1,HTP-061,Системы управления химико-технологическими процессами природных энергоносителей и углеродных материалов,2024-2025 уч.год,,
ТХ-21-1,HTP-062,Современные представления о нефтяных дисперсных системах,2023-2024 уч.год,,
ТХ-21-1,HTP-069,Теоретические основы химической технологии природных энергоносителей и углеродных материалов,2023-2024 уч.год,,
ТХ-21-1,HTP-079,Технология катализаторов [выбранные дисциплины] 23+23 чел.,2023-2024 уч.год,,
ТХ-21-1,HTP-092,Химическая технология газификации природных энергоносителей,2023-2024 уч.год,,
ТХ-21-1,HTP-096,Химическая технология природных энергоносителей и углеродных материалов,2023-2024 уч.год,,
ТХ-21-1,HTP-099,Химическая технология углей и горючих сланцев,2024-2025 уч.год,,
ТХ-21-1,HTP-100,Химические реакторы,2024-2025 уч.год,,
ТХ-21-1,HTP-109,Химия природных энергоносителей,2022-2023 весна,,
ТХ-21-1,HTP-110,"Химмотология топлив, масел и специальных нефтепродуктов",2023-2024 уч.год,,
ТХ-21-2,HTP-001,Высокотемпературные процессы химической технологии,2024-2025 уч.год,,
ТХ-21-2,HTP-003,Инструментальные методы химического анализа в химической технологии природных энергоносителей,2023-2024 уч.год,,
ТХ-21-2,HTP-007,Коррозия и защита оборудования в химической технологии природных энергоносителей и углеродных материалов,2022-2023 весна,,
ТХ-21-2,HTP-011,Материалы для оборудования нефтегазоперерабатывающих производств,2022-2023 весна,,
ТХ-21-2,HTP-021,Моделирование химико-технологических процессов переработки природных энергоносителей,2024-2025 уч.год,,
ТХ-21-2,HTP-027,Общая химическая технология,2023-2024 уч.год,,
ТХ-21-2,HTP-036,Основы химической технологии смазочных масел и присадок,2024-2025 уч.год,,
ТХ-21-2,HTP-044,Проектирование процессов и аппаратов нефтеперерабатывающих предприятий,2024-2025 уч.год,,
