faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ИБИО,ОТФ,OTF-001,Спецфизика,3,Лист1,,
ИБИО,ОТФ,OTF-002,Физика,3,2023-2024 уч.год,,
ИБИО,ОТФ,OTF-003,Физика (дополнительные главы),3,Лист1,,
