faculty_code,faculty_title,sort_order,check_ok,review_comment
НГФ,Нефтегазовый факультет,0,,
ГФ,Горный факультет,1,,
ГРФ,Геологоразведочный факультет,2,,
ФПМС,Факультет переработки минерального сырья,3,,
ММФ,Механико-машиностроительный факультет,4,,
СФ,Строительный факультет,5,,
ЭФ,Энергетический факультет,6,,
ИБИО,Институт базового инженерного образования,7,,
