code,title,source
ГФ,Горный факультет,studlab.spmi.ru
НГФ,Нефтегазовый факультет,studlab.spmi.ru
ММФ,Механико-машиностроительный факультет,studlab.spmi.ru
ЭФ,Энергетический факультет,studlab.spmi.ru
ГРФ,Геологоразведочный факультет,studlab.spmi.ru
СФ,Строительный факультет,studlab.spmi.ru
ФПМС,Факультет переработки минерального сырья,studlab.spmi.ru
ИБИО,Институт базового инженерного образования,studlab.spmi.ru
