training_center_number,training_center_name,faculty_codes,faculty_titles,check_ok,review_comment
1,Учебный центр №1,ГРФ|ГФ|ММФ|НГФ|СФ|ФПМС,Геологоразведочный факультет|Горный факультет|Механико-машиностроительный факультет|Нефтегазовый факультет|Строительный факультет|Факультет переработки минерального сырья,,
2,Учебный центр №2,ГФ|ММФ|СФ|ЭФ,Горный факультет|Механико-машиностроительный факультет|Строительный факультет|Энергетический факультет,,
3,Учебный центр №3,ГРФ|ИБИО|ФПМС|ЭФ,Геологоразведочный факультет|Институт базового инженерного образования|Факультет переработки минерального сырья|Энергетический факультет,,
